name,url,price
"Redmi Note 9 Pro (Aurora Blue, 128 GB)",https://www.flipkart.com/redmi-note-9-pro-aurora-blue-128-gb/p/itma84d60532d415?pid=MOBFPZXUYDHUHNNN&lid=LSTMOBFPZXUYDHUHNNNFZ4M5E&marketplace=FLIPKART&srno=b_2_48&otracker=browse&fm=organic&iid=e2c23fb5-e7b8-4e33-9eda-ce249ad14365.MOBFPZXUYDHUHNNN.SEARCH&ssid=9a3c7um1hc0000001591261970492,"₹14,999"
"Redmi Note 7 Pro (Space Black, 128 GB)",https://www.flipkart.com/redmi-note-7-pro-space-black-128-gb/p/itmfdxz6j7sdhf4c?pid=MOBFDXZ3TFDKZYHU&lid=LSTMOBFDXZ3TFDKZYHUQFVY3Q&marketplace=FLIPKART&srno=b_1_1&otracker=browse&fm=organic&iid=e4aff7e8-def0-41b1-b9d2-5d34bf21ec42.MOBFDXZ3TFDKZYHU.SEARCH&ssid=3z11qi3yyo0000001591261971188,"₹13,999"
"Redmi Note 6 Pro (Red, 64 GB)",https://www.flipkart.com/redmi-note-6-pro-red-64-gb/p/itmfb2fbghwznj5d?pid=MOBFAJB4RHKJHDJD&lid=LSTMOBFAJB4RHKJHDJDFCZADA&marketplace=FLIPKART&srno=b_1_2&otracker=browse&fm=organic&iid=e4aff7e8-def0-41b1-b9d2-5d34bf21ec42.MOBFAJB4RHKJHDJD.SEARCH&ssid=3z11qi3yyo0000001591261971188,"₹11,999"
"Redmi Note 9 Pro (Glacier White, 64 GB)",https://www.flipkart.com/redmi-note-9-pro-glacier-white-64-gb/p/itma84d60532d415?pid=MOBFPZXU9QDDSKNU&lid=LSTMOBFPZXU9QDDSKNU0S1NFJ&marketplace=FLIPKART&srno=b_1_3&otracker=browse&fm=organic&iid=e4aff7e8-def0-41b1-b9d2-5d34bf21ec42.MOBFPZXU9QDDSKNU.SEARCH&ssid=3z11qi3yyo0000001591261971188,"₹16,999"
"Redmi Note 5 Pro (Gold, 64 GB)",https://www.flipkart.com/redmi-note-5-pro-gold-64-gb/p/itmf2fc3bknfqpkj?pid=MOBF28FTVG9GMYQM&lid=LSTMOBF28FTVG9GMYQMGNLVLZ&marketplace=FLIPKART&srno=b_1_4&otracker=browse&fm=organic&iid=e4aff7e8-def0-41b1-b9d2-5d34bf21ec42.MOBF28FTVG9GMYQM.SEARCH&ssid=3z11qi3yyo0000001591261971188,"₹13,999"
"Redmi Note 4 (Gold, 64 GB)",https://www.flipkart.com/redmi-note-4-gold-64-gb/p/itmeqg86fjyzkdq8?pid=MOBEQ98MNXHY4RU9&lid=LSTMOBEQ98MNXHY4RU9HWK2LC&marketplace=FLIPKART&srno=b_1_5&otracker=browse&fm=organic&iid=e4aff7e8-def0-41b1-b9d2-5d34bf21ec42.MOBEQ98MNXHY4RU9.SEARCH&ssid=3z11qi3yyo0000001591261971188,"₹12,999"
"Mi A3 (More Than White, 128 GB)",https://www.flipkart.com/mi-a3-more-than-white-128-gb/p/itm2078a43b894ef?pid=MOBFJM4ZUSWWPXPN&lid=LSTMOBFJM4ZUSWWPXPNKB70UV&marketplace=FLIPKART&srno=b_1_6&otracker=browse&fm=organic&iid=e4aff7e8-def0-41b1-b9d2-5d34bf21ec42.MOBFJM4ZUSWWPXPN.SEARCH&ssid=3z11qi3yyo0000001591261971188,"₹14,999"
"Mi A3 (More Than White, 64 GB)",https://www.flipkart.com/mi-a3-more-than-white-64-gb/p/itm58e6b4a83b046?pid=MOBFJM5YN8YU2TGS&lid=LSTMOBFJM5YN8YU2TGSBXRQZR&marketplace=FLIPKART&srno=b_1_7&otracker=browse&fm=organic&iid=e4aff7e8-def0-41b1-b9d2-5d34bf21ec42.MOBFJM5YN8YU2TGS.SEARCH&ssid=3z11qi3yyo0000001591261971188,"₹14,995"
"Mi A3 (Kind of Grey, 64 GB)",https://www.flipkart.com/mi-a3-kind-grey-64-gb/p/itm280ef520ac1d9?pid=MOBFJM4ZZW6NTSZH&lid=LSTMOBFJM4ZZW6NTSZHIR6IAO&marketplace=FLIPKART&srno=b_1_8&otracker=browse&fm=organic&iid=e4aff7e8-def0-41b1-b9d2-5d34bf21ec42.MOBFJM4ZZW6NTSZH.SEARCH&ssid=3z11qi3yyo0000001591261971188,"₹14,995"
"Mi A3 (Kind of Grey, 128 GB)",https://www.flipkart.com/mi-a3-kind-grey-128-gb/p/itm1389be24ba505?pid=MOBFJM4UFYDUVCFU&lid=LSTMOBFJM4UFYDUVCFU8EPISL&marketplace=FLIPKART&srno=b_1_9&otracker=browse&fm=organic&iid=e4aff7e8-def0-41b1-b9d2-5d34bf21ec42.MOBFJM4UFYDUVCFU.SEARCH&ssid=3z11qi3yyo0000001591261971188,"₹14,999"
